Landslide_date,latitude,longitude,precip_1d,precip_3d,precip_7d,is_rainfall_induced
2008-08-01,32.5625,107.45,0.0,0.0,0.0,1
2009-01-02,45.42,-122.663,86.83405303955078,86.83405303955078,86.83405303955078,1
2007-01-19,-11.1295,-75.3587,13.716833114624023,20.57524871826172,54.524436950683594,1
2009-07-31,28.8378,81.708,0.0,16.501956939697266,132.01565551757812,1
2010-10-16,10.3336,123.8978,24.028236389160156,41.07326889038086,77.53305053710938,1
2012-02-16,10.7004,124.9668,81.39510345458984,129.33950805664062,237.93507385253906,1
2012-03-30,48.2797,-117.2665,10.82884693145752,27.07211685180664,59.29610824584961,1
2007-09-02,24.9531,-107.622,12.06947135925293,30.136032104492188,78.31352996826172,1
2007-09-05,43.6846,-114.4194,6.12723445892334,6.12723445892334,11.54702377319336,1
2008-11-01,23.89,100.0845,66.80725860595703,73.79181671142578,99.15322875976562,1
2008-11-01,25.0967,102.695,86.05977630615234,86.05977630615234,91.74070739746094,1
2014-12-21,45.8647,-122.8178,38.91743850708008,52.40747833251953,61.40083694458008,0
2009-01-01,45.377,-122.0704,74.39439392089844,74.39439392089844,74.39439392089844,1
2017-07-03,23.14383048,105.5299971,61.53425216674805,129.58074951171875,166.860107421875,1
2009-01-02,12.5655,124.0419,44.164268493652344,44.164268493652344,44.164268493652344,1
2009-01-03,45.521,-122.67,34.391082763671875,64.4832763671875,64.4832763671875,1
2009-01-07,35.507,-83.071,104.72067260742188,111.46348571777344,118.20628356933594,1
2009-01-07,46.11,-122.893,38.82296371459961,96.17817687988281,176.7486114501953,1
2009-01-07,47.432,-122.334,59.33992004394531,80.35289001464844,108.87049102783203,1
2009-01-07,48.538,-121.75,161.0667266845703,193.76197814941406,219.45111083984375,1
2009-01-07,48.72,-122.2,111.64381408691406,138.33502197265625,166.29721069335938,1
2009-01-08,46.1299,-122.909,60.45873260498047,94.30989837646484,199.08734130859375,0
2009-01-08,47.538,-122.273,29.8409481048584,51.63628005981445,77.17147827148438,1
2009-01-08,48.929,-122.037,96.3691635131836,157.4913787841797,197.2283935546875,1
2009-01-13,36.7946,5.765,44.703514099121094,59.60468673706055,76.99394226074219,1
2009-01-13,47.7573,-122.2072,0.0,15.239873886108398,54.406463623046875,1
2009-01-16,1.531,110.3442,117.24120330810547,136.28347778320312,295.28240966796875,1
2009-01-19,-8.5073,116.662,0.0,10.646068572998047,76.41082763671875,1
2009-08-13,8.4841,-13.2287,106.5194091796875,170.01123046875,208.1063232421875,1
2009-01-22,5.031,115.0668,0.0,80.21136474609375,142.14280700683594,1
2009-01-22,19.4271,-99.1276,0.0,0.0,0.0,1
2009-01-26,40.8403,14.252,4.8791656494140625,24.85673713684082,105.7743148803711,1
2009-07-22,26.8826,88.2788,17.62603759765625,86.38313293457031,86.38313293457031,1
2009-02-06,34.162,-118.05,0.0,0.0,0.0,1
2009-07-22,26.8572,88.3143,16.973600387573242,90.13357543945312,90.13357543945312,1
2009-02-07,9.29,123.226,72.38263702392578,77.2638931274414,115.48297882080078,1
2009-09-09,14.545,121.56,32.87656021118164,65.75312042236328,144.69464111328125,1
2009-04-20,37.9137,-79.4305,26.277982711791992,26.277982711791992,36.6280403137207,1
2009-08-23,-41.0528,145.9063,28.209192276000977,43.04951095581055,59.330047607421875,1
2009-07-02,28.2039,83.9806,76.41316986083984,94.02490234375,217.30703735351562,1
2009-07-02,27.9447,84.2279,40.59907531738281,50.855934143066406,112.3970947265625,1
2009-07-21,34.0496,131.5729,94.77667236328125,134.7864532470703,154.945068359375,1
2017-05-19,36.770029,-83.712126,19.260236740112305,19.260236740112305,47.538909912109375,1
2009-07-24,34.3852,132.4592,31.10529327392578,91.40570068359375,176.0096435546875,1
2009-07-25,31.483,103.5868,12.19273567199707,30.48183822631836,46.572303771972656,1
2009-07-01,27.478,88.527,0.0,15.213422775268555,60.85369110107422,1
2009-07-27,28.0,85.71,117.57084655761719,138.93556213378906,138.93556213378906,1
2009-07-31,28.1046,83.8791,0.0,34.08812713623047,340.670654296875,1
2009-09-20,56.5561,-132.7269,0.0,0.0,0.0,1
2009-09-22,56.5692,-132.7348,0.0,0.0,0.0,1
2009-09-22,56.5787,-132.5617,0.0,0.0,0.0,1
2009-11-18,47.2846,-122.5562,6.482867240905762,19.44860076904297,42.76491928100586,1
2009-11-21,-7.571,109.9187,50.622039794921875,92.94526672363281,238.26805114746094,1
2017-07-03,22.69040325,104.4530851,70.66437530517578,108.81737518310547,138.01380920410156,1
2009-12-09,35.0672,-85.3697,49.65785217285156,74.48677062988281,107.251953125,1
2009-12-09,35.1052,-85.3361,59.404056549072266,74.25506591796875,106.07252502441406,1
2010-01-01,-23.01374445,-44.32249842,117.02555084228516,117.02555084228516,117.02555084228516,1
2015-02-06,45.2335,-123.1587,34.00990295410156,46.366676330566406,58.72344970703125,0
2010-04-05,-22.89234445,-43.07409842,161.33880615234375,193.6065673828125,315.9021911621094,1
2010-07-29,25.3098633,94.48214677,51.93016052246094,60.58518600463867,92.78511047363281,1
2010-08-06,36.6567,74.8609,0.0687798410654068,0.0687798410654068,0.0687798410654068,1
2010-10-16,10.395,123.9153,27.771488189697266,45.164039611816406,73.1413803100586,1
2011-07-21,29.7334,79.6367,53.814292907714844,71.75238800048828,71.75238800048828,1
2010-10-17,10.57,123.72,20.620759963989258,34.910865783691406,71.16850280761719,1
2010-10-17,10.77,123.98,25.22356605529785,45.658912658691406,91.62963104248047,1
2011-01-12,-22.2331,-42.6018,133.079833984375,140.4326934814453,140.4326934814453,1
